HOOMD-blue 2.9.6 CUDA (10.2) DOUBLE HPMC_MIXED TBB SSE SSE2 SSE3 
Compiled: 03/17/2021
Copyright (c) 2009-2019 The Regents of the University of Michigan.
-----
You are using HOOMD-blue. Please cite the following:
* J A Anderson, J Glaser, and S C Glotzer. "HOOMD-blue: A Python package for
  high-performance molecular dynamics and hard particle Monte Carlo
  simulations", Computational Materials Science 173 (2020) 109363
-----
HOOMD-blue is running on the following GPU(s):
 [0]  Tesla P100-PCIE-12GB  56 SM_6.0 @ 1.33 GHz, 12198 MiB DRAM, MNG
run.py:007  |  system = read_gsd("/home/erjank_project/chrisjones/pekk-msibi-final/learning-runs/single-chains/workspace/b83dce273531102fa2c624e593dddb4c/components.gsd", frame=-1, time_step=0)
notice(2): Group "all" created containing 60 particles
run.py:009  |  nl = hoomd.md.nlist.tree()
-----
You are using tree neighbor lists. Please cite the following:
* M P Howard, J A Anderson, A Nikoubashman, S C Glotzer, and A Z
  Panagiotopoulos. "Efficient neighbor list calculation for molecular simulation
  of colloidal systems using graphics processing units", Computer Physics
  Communications 203 (2016) 45--52
* M P Howard, A Statt, F Madutsa, T M Truskett, and A Z Panagiotopoulos.
  "Quantized bounding volume hierarchies for neighbor search in molecular
  simulations on graphics processing units", Computational Materials Science 164
  (2019) 139--146
-----
run.py:010  |  nl.reset_exclusions(exclusions=['1-2', '1-3'])
notice(2): -- Neighborlist exclusion statistics -- :
notice(2): Particles with 2 exclusions             : 2
notice(2): Particles with 3 exclusions             : 2
notice(2): Particles with 4 exclusions             : 56
notice(2): Neighbors included by diameter          : no
notice(2): Neighbors excluded when in the same body: no
run.py:012  |  table=hoomd.md.pair.table(width=101,nlist=nl)
run.py:013  |  table.set_from_file('E', 'E', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/cf6f340fd41d9f9119443c10dc659a95/E-E_final.txt')
run.py:014  |  table.set_from_file('K', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/cf6f340fd41d9f9119443c10dc659a95/K-K_final.txt')
run.py:015  |  table.set_from_file('E', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/cf6f340fd41d9f9119443c10dc659a95/E-K_final.txt')
run.py:016  |  harmonic_bond = hoomd.md.bond.harmonic()
run.py:017  |  harmonic_bond.bond_coeff.set('E-K', k=850, r0=1.47)
run.py:018  |  harmonic_bond.bond_coeff.set('K-K', k=1450, r0=1.53)
run.py:019  |  atable = hoomd.md.angle.table(width=200)
run.py:020  |  atable.set_from_file('E-K-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-deeper/potentials/angle_pot.E-K-K')
run.py:021  |  atable.set_from_file('K-E-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-deeper/potentials/angle_pot.K-E-K')
run.py:022  |  harmonic_dihedral = hoomd.md.dihedral.harmonic()
run.py:023  |  harmonic_dihedral.dihedral_coeff.set('E-K-K-E', k=16, d=-1, n=1, phi0=0)
run.py:024  |  harmonic_dihedral.dihedral_coeff.set('K-E-K-K', k=12, d=-1, n=1, phi0=0)
run.py:026  |  _all = hoomd.group.all()
run.py:027  |  hoomd.md.integrate.mode_standard(0.0003)
run.py:029  |  integrator = hoomd.md.integrate.nvt(group=_all, **integrator_kwargs)
run.py:000  |  
import hoomd
import hoomd.md
from hoomd.init import read_gsd

hoomd.context.initialize("")
system = read_gsd("/home/erjank_project/chrisjones/pekk-msibi-final/learning-runs/single-chains/workspace/b83dce273531102fa2c624e593dddb4c/components.gsd", frame=-1, time_step=0)

nl = hoomd.md.nlist.tree()
nl.reset_exclusions(exclusions=['1-2', '1-3'])

table=hoomd.md.pair.table(width=101,nlist=nl)
table.set_from_file('E', 'E', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/cf6f340fd41d9f9119443c10dc659a95/E-E_final.txt')
table.set_from_file('K', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/cf6f340fd41d9f9119443c10dc659a95/K-K_final.txt')
table.set_from_file('E', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/cf6f340fd41d9f9119443c10dc659a95/E-K_final.txt')
harmonic_bond = hoomd.md.bond.harmonic()
harmonic_bond.bond_coeff.set('E-K', k=850, r0=1.47)
harmonic_bond.bond_coeff.set('K-K', k=1450, r0=1.53)
atable = hoomd.md.angle.table(width=200)
atable.set_from_file('E-K-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-deeper/potentials/angle_pot.E-K-K')
atable.set_from_file('K-E-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-deeper/potentials/angle_pot.K-E-K')
harmonic_dihedral = hoomd.md.dihedral.harmonic()
harmonic_dihedral.dihedral_coeff.set('E-K-K-E', k=16, d=-1, n=1, phi0=0)
harmonic_dihedral.dihedral_coeff.set('K-E-K-K', k=12, d=-1, n=1, phi0=0)

_all = hoomd.group.all()
hoomd.md.integrate.mode_standard(0.0003)
integrator_kwargs = {'tau': 0.01, 'kT': 6.5}
integrator = hoomd.md.integrate.nvt(group=_all, **integrator_kwargs)


hoomd.dump.gsd(
run.py:040  |  hoomd.run(6000000)
notice(2): Notice: Possible typo? Force coeff phi0 is specified for type E-K-K-E, but is not used by the dihedral force
notice(2): Notice: Possible typo? Force coeff phi0 is specified for type K-E-K-K, but is not used by the dihedral force
** starting run **
Time 00:00:10 | Step 76831 / 6000000 | TPS 7683.04 | ETA 00:12:50
Time 00:00:20 | Step 157663 / 6000000 | TPS 8083.19 | ETA 00:12:02
Time 00:00:30 | Step 236536 / 6000000 | TPS 7887.24 | ETA 00:12:10
Time 00:00:40 | Step 315684 / 6000000 | TPS 7914.74 | ETA 00:11:58
Time 00:00:50 | Step 395974 / 6000000 | TPS 8028.9 | ETA 00:11:37
Time 00:01:00 | Step 477715 / 6000000 | TPS 8174.03 | ETA 00:11:15
Time 00:01:10 | Step 556714 / 6000000 | TPS 7899.85 | ETA 00:11:29
Time 00:01:20 | Step 636319 / 6000000 | TPS 7960.43 | ETA 00:11:13
Time 00:01:30 | Step 716742 / 6000000 | TPS 8042.23 | ETA 00:10:56
Time 00:01:40 | Step 796616 / 6000000 | TPS 7987.31 | ETA 00:10:51
Time 00:01:50 | Step 876997 / 6000000 | TPS 8038.01 | ETA 00:10:37
Time 00:02:00 | Step 956251 / 6000000 | TPS 7925.35 | ETA 00:10:36
Time 00:02:10 | Step 1035356 / 6000000 | TPS 7910.41 | ETA 00:10:27
Time 00:02:20 | Step 1114822 / 6000000 | TPS 7946.51 | ETA 00:10:14
Time 00:02:30 | Step 1194846 / 6000000 | TPS 8002.32 | ETA 00:10:00
Time 00:02:40 | Step 1274920 / 6000000 | TPS 8007.33 | ETA 00:09:50
Time 00:02:50 | Step 1353767 / 6000000 | TPS 7884.64 | ETA 00:09:49
Time 00:03:00 | Step 1433307 / 6000000 | TPS 7953.98 | ETA 00:09:34
Time 00:03:10 | Step 1512525 / 6000000 | TPS 7921.76 | ETA 00:09:26
Time 00:03:20 | Step 1592538 / 6000000 | TPS 8001.22 | ETA 00:09:10
Time 00:03:30 | Step 1671651 / 6000000 | TPS 7911.26 | ETA 00:09:07
Time 00:03:40 | Step 1750883 / 6000000 | TPS 7923.19 | ETA 00:08:56
Time 00:03:50 | Step 1830871 / 6000000 | TPS 7998.75 | ETA 00:08:41
Time 00:04:00 | Step 1910257 / 6000000 | TPS 7938.58 | ETA 00:08:35
Time 00:04:10 | Step 1990937 / 6000000 | TPS 8067.97 | ETA 00:08:16
Time 00:04:20 | Step 2070483 / 6000000 | TPS 7954.52 | ETA 00:08:13
Time 00:04:30 | Step 2150038 / 6000000 | TPS 7955.44 | ETA 00:08:03
Time 00:04:40 | Step 2230506 / 6000000 | TPS 8046.78 | ETA 00:07:48
Time 00:04:50 | Step 2310890 / 6000000 | TPS 8038.33 | ETA 00:07:38
Time 00:05:00 | Step 2391808 / 6000000 | TPS 8091.77 | ETA 00:07:25
Time 00:05:10 | Step 2472414 / 6000000 | TPS 8060.51 | ETA 00:07:17
Time 00:05:20 | Step 2552246 / 6000000 | TPS 7983.11 | ETA 00:07:11
Time 00:05:30 | Step 2632929 / 6000000 | TPS 8068.3 | ETA 00:06:57
Time 00:05:40 | Step 2714052 / 6000000 | TPS 8112.26 | ETA 00:06:45
Time 00:05:50 | Step 2794708 / 6000000 | TPS 8065.54 | ETA 00:06:37
Time 00:06:00 | Step 2874102 / 6000000 | TPS 7939.31 | ETA 00:06:33
Time 00:06:10 | Step 2953825 / 6000000 | TPS 7972.28 | ETA 00:06:22
Time 00:06:20 | Step 3034417 / 6000000 | TPS 8059.14 | ETA 00:06:07
Time 00:06:30 | Step 3113582 / 6000000 | TPS 7916.48 | ETA 00:06:04
Time 00:06:40 | Step 3192924 / 6000000 | TPS 7934.13 | ETA 00:05:53
Time 00:06:50 | Step 3272811 / 6000000 | TPS 7988.61 | ETA 00:05:41
Time 00:07:00 | Step 3353344 / 6000000 | TPS 8053.29 | ETA 00:05:28
Time 00:07:10 | Step 3434111 / 6000000 | TPS 8076.64 | ETA 00:05:17
Time 00:07:20 | Step 3514354 / 6000000 | TPS 8024.28 | ETA 00:05:09
Time 00:07:30 | Step 3593961 / 6000000 | TPS 7960.63 | ETA 00:05:02
Time 00:07:40 | Step 3674042 / 6000000 | TPS 8008.06 | ETA 00:04:50
Time 00:07:50 | Step 3754281 / 6000000 | TPS 8023.82 | ETA 00:04:39
Time 00:08:00 | Step 3833929 / 6000000 | TPS 7964.8 | ETA 00:04:31
Time 00:08:10 | Step 3914239 / 6000000 | TPS 8030.92 | ETA 00:04:19
Time 00:08:20 | Step 3995166 / 6000000 | TPS 8092.63 | ETA 00:04:07
Time 00:08:30 | Step 4075687 / 6000000 | TPS 8052.05 | ETA 00:03:58
Time 00:08:40 | Step 4156033 / 6000000 | TPS 8034.51 | ETA 00:03:49
Time 00:08:50 | Step 4235426 / 6000000 | TPS 7939.23 | ETA 00:03:42
Time 00:09:00 | Step 4315664 / 6000000 | TPS 8023.72 | ETA 00:03:29
Time 00:09:10 | Step 4395291 / 6000000 | TPS 7962.62 | ETA 00:03:21
Time 00:09:20 | Step 4474846 / 6000000 | TPS 7955.44 | ETA 00:03:11
Time 00:09:30 | Step 4554280 / 6000000 | TPS 7943.31 | ETA 00:03:02
Time 00:09:40 | Step 4635011 / 6000000 | TPS 8073.09 | ETA 00:02:49
Time 00:09:50 | Step 4714634 / 6000000 | TPS 7962.28 | ETA 00:02:41
Time 00:10:00 | Step 4794104 / 6000000 | TPS 7946.97 | ETA 00:02:31
