HOOMD-blue 2.9.6 CUDA (10.2) DOUBLE HPMC_MIXED TBB SSE SSE2 SSE3 
Compiled: 03/17/2021
Copyright (c) 2009-2019 The Regents of the University of Michigan.
-----
You are using HOOMD-blue. Please cite the following:
* J A Anderson, J Glaser, and S C Glotzer. "HOOMD-blue: A Python package for
  high-performance molecular dynamics and hard particle Monte Carlo
  simulations", Computational Materials Science 173 (2020) 109363
-----
HOOMD-blue is running on the following GPU(s):
 [0]  Tesla P100-PCIE-12GB  56 SM_6.0 @ 1.33 GHz, 12198 MiB DRAM, MNG
run.py:007  |  system = read_gsd("/home/erjank_project/chrisjones/pekk-msibi-final/learning-runs/single-chains/workspace/b83dce273531102fa2c624e593dddb4c/components.gsd", frame=-1, time_step=0)
notice(2): Group "all" created containing 60 particles
run.py:009  |  nl = hoomd.md.nlist.tree()
-----
You are using tree neighbor lists. Please cite the following:
* M P Howard, J A Anderson, A Nikoubashman, S C Glotzer, and A Z
  Panagiotopoulos. "Efficient neighbor list calculation for molecular simulation
  of colloidal systems using graphics processing units", Computer Physics
  Communications 203 (2016) 45--52
* M P Howard, A Statt, F Madutsa, T M Truskett, and A Z Panagiotopoulos.
  "Quantized bounding volume hierarchies for neighbor search in molecular
  simulations on graphics processing units", Computational Materials Science 164
  (2019) 139--146
-----
run.py:010  |  nl.reset_exclusions(exclusions=['1-2', '1-3'])
notice(2): -- Neighborlist exclusion statistics -- :
notice(2): Particles with 2 exclusions             : 2
notice(2): Particles with 3 exclusions             : 2
notice(2): Particles with 4 exclusions             : 56
notice(2): Neighbors included by diameter          : no
notice(2): Neighbors excluded when in the same body: no
run.py:012  |  table=hoomd.md.pair.table(width=101,nlist=nl)
run.py:013  |  table.set_from_file('E', 'E', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-E_final.txt')
run.py:014  |  table.set_from_file('K', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/K-K_final.txt')
run.py:015  |  table.set_from_file('E', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-K_final.txt')
run.py:016  |  harmonic_bond = hoomd.md.bond.harmonic()
run.py:017  |  harmonic_bond.bond_coeff.set('E-K', k=850, r0=1.47)
run.py:018  |  harmonic_bond.bond_coeff.set('K-K', k=1450, r0=1.53)
run.py:019  |  atable = hoomd.md.angle.table(width=200)
run.py:020  |  atable.set_from_file('E-K-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.E-K-K')
run.py:021  |  atable.set_from_file('K-E-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.K-E-K')
run.py:022  |  harmonic_dihedral = hoomd.md.dihedral.harmonic()
run.py:023  |  harmonic_dihedral.dihedral_coeff.set('E-K-K-E', k=16, d=-1, n=1, phi0=0)
run.py:024  |  harmonic_dihedral.dihedral_coeff.set('K-E-K-K', k=12, d=-1, n=1, phi0=0)
run.py:026  |  _all = hoomd.group.all()
run.py:027  |  hoomd.md.integrate.mode_standard(0.0003)
run.py:029  |  integrator = hoomd.md.integrate.nvt(group=_all, **integrator_kwargs)
run.py:000  |  
import hoomd
import hoomd.md
from hoomd.init import read_gsd

hoomd.context.initialize("")
system = read_gsd("/home/erjank_project/chrisjones/pekk-msibi-final/learning-runs/single-chains/workspace/b83dce273531102fa2c624e593dddb4c/components.gsd", frame=-1, time_step=0)

nl = hoomd.md.nlist.tree()
nl.reset_exclusions(exclusions=['1-2', '1-3'])

table=hoomd.md.pair.table(width=101,nlist=nl)
table.set_from_file('E', 'E', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-E_final.txt')
table.set_from_file('K', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/K-K_final.txt')
table.set_from_file('E', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-K_final.txt')
harmonic_bond = hoomd.md.bond.harmonic()
harmonic_bond.bond_coeff.set('E-K', k=850, r0=1.47)
harmonic_bond.bond_coeff.set('K-K', k=1450, r0=1.53)
atable = hoomd.md.angle.table(width=200)
atable.set_from_file('E-K-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.E-K-K')
atable.set_from_file('K-E-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.K-E-K')
harmonic_dihedral = hoomd.md.dihedral.harmonic()
harmonic_dihedral.dihedral_coeff.set('E-K-K-E', k=16, d=-1, n=1, phi0=0)
harmonic_dihedral.dihedral_coeff.set('K-E-K-K', k=12, d=-1, n=1, phi0=0)

_all = hoomd.group.all()
hoomd.md.integrate.mode_standard(0.0003)
integrator_kwargs = {'tau': 0.01, 'kT': 6.5}
integrator = hoomd.md.integrate.nvt(group=_all, **integrator_kwargs)


hoomd.dump.gsd(
run.py:040  |  hoomd.run(6000000)
notice(2): Notice: Possible typo? Force coeff phi0 is specified for type E-K-K-E, but is not used by the dihedral force
notice(2): Notice: Possible typo? Force coeff phi0 is specified for type K-E-K-K, but is not used by the dihedral force
** starting run **
Time 00:00:10 | Step 78655 / 6000000 | TPS 7865.45 | ETA 00:12:32
Time 00:00:20 | Step 162802 / 6000000 | TPS 8414.67 | ETA 00:11:33
Time 00:00:30 | Step 248848 / 6000000 | TPS 8604.54 | ETA 00:11:08
Time 00:00:40 | Step 334735 / 6000000 | TPS 8588.64 | ETA 00:10:59
Time 00:00:50 | Step 419389 / 6000000 | TPS 8465.31 | ETA 00:10:59
Time 00:01:00 | Step 505783 / 6000000 | TPS 8639.38 | ETA 00:10:35
Time 00:01:10 | Step 591604 / 6000000 | TPS 8582.02 | ETA 00:10:30
Time 00:01:20 | Step 676524 / 6000000 | TPS 8491.99 | ETA 00:10:26
Time 00:01:30 | Step 761814 / 6000000 | TPS 8528.97 | ETA 00:10:14
Time 00:01:40 | Step 845732 / 6000000 | TPS 8391.75 | ETA 00:10:14
Time 00:01:50 | Step 929974 / 6000000 | TPS 8424.18 | ETA 00:10:01
Time 00:02:00 | Step 1016588 / 6000000 | TPS 8661.37 | ETA 00:09:35
Time 00:02:10 | Step 1105501 / 6000000 | TPS 8890.87 | ETA 00:09:10
Time 00:02:20 | Step 1193280 / 6000000 | TPS 8777.82 | ETA 00:09:07
Time 00:02:30 | Step 1283120 / 6000000 | TPS 8983.94 | ETA 00:08:45
Time 00:02:40 | Step 1370510 / 6000000 | TPS 8738.9 | ETA 00:08:49
Time 00:02:50 | Step 1457424 / 6000000 | TPS 8691.33 | ETA 00:08:42
Time 00:03:00 | Step 1544720 / 6000000 | TPS 8729.52 | ETA 00:08:30
Time 00:03:10 | Step 1630001 / 6000000 | TPS 8528.08 | ETA 00:08:32
Time 00:03:20 | Step 1717507 / 6000000 | TPS 8750.58 | ETA 00:08:09
Time 00:03:30 | Step 1805031 / 6000000 | TPS 8752.38 | ETA 00:07:59
Time 00:03:40 | Step 1893810 / 6000000 | TPS 8877.9 | ETA 00:07:42
Time 00:03:50 | Step 1981091 / 6000000 | TPS 8728.01 | ETA 00:07:40
Time 00:04:00 | Step 2067142 / 6000000 | TPS 8605.07 | ETA 00:07:37
Time 00:04:10 | Step 2152047 / 6000000 | TPS 8490.49 | ETA 00:07:33
Time 00:04:20 | Step 2238414 / 6000000 | TPS 8636.66 | ETA 00:07:15
Time 00:04:30 | Step 2331048 / 6000000 | TPS 9263.34 | ETA 00:06:36
Time 00:04:40 | Step 2425264 / 6000000 | TPS 9421.55 | ETA 00:06:19
Time 00:04:50 | Step 2517166 / 6000000 | TPS 9190.11 | ETA 00:06:18
Time 00:05:00 | Step 2611887 / 6000000 | TPS 9472.06 | ETA 00:05:57
Time 00:05:10 | Step 2702580 / 6000000 | TPS 9069.25 | ETA 00:06:03
Time 00:05:20 | Step 2786885 / 6000000 | TPS 8430.42 | ETA 00:06:21
Time 00:05:30 | Step 2872447 / 6000000 | TPS 8556.18 | ETA 00:06:05
Time 00:05:40 | Step 2962682 / 6000000 | TPS 9023.46 | ETA 00:05:36
Time 00:05:50 | Step 3052233 / 6000000 | TPS 8955.09 | ETA 00:05:29
Time 00:06:00 | Step 3142924 / 6000000 | TPS 9069.09 | ETA 00:05:15
Time 00:06:10 | Step 3232714 / 6000000 | TPS 8978.91 | ETA 00:05:08
Time 00:06:20 | Step 3321661 / 6000000 | TPS 8894.67 | ETA 00:05:01
Time 00:06:30 | Step 3411374 / 6000000 | TPS 8971.21 | ETA 00:04:48
Time 00:06:40 | Step 3497965 / 6000000 | TPS 8659.07 | ETA 00:04:48
Time 00:06:50 | Step 3583306 / 6000000 | TPS 8534.03 | ETA 00:04:43
Time 00:07:00 | Step 3670230 / 6000000 | TPS 8692.38 | ETA 00:04:28
Time 00:07:10 | Step 3755894 / 6000000 | TPS 8566.39 | ETA 00:04:21
Time 00:07:20 | Step 3841489 / 6000000 | TPS 8559.5 | ETA 00:04:12
Time 00:07:30 | Step 3927853 / 6000000 | TPS 8636.33 | ETA 00:03:59
Time 00:07:40 | Step 4014775 / 6000000 | TPS 8692.18 | ETA 00:03:48
Time 00:07:50 | Step 4102135 / 6000000 | TPS 8735.94 | ETA 00:03:37
Time 00:08:00 | Step 4192801 / 6000000 | TPS 9066.33 | ETA 00:03:19
Time 00:08:10 | Step 4278156 / 6000000 | TPS 8535.42 | ETA 00:03:21
Time 00:08:20 | Step 4366308 / 6000000 | TPS 8815.16 | ETA 00:03:05
Time 00:08:30 | Step 4453020 / 6000000 | TPS 8671.18 | ETA 00:02:58
Time 00:08:40 | Step 4547757 / 6000000 | TPS 9473.63 | ETA 00:02:33
Time 00:08:50 | Step 4645238 / 6000000 | TPS 9748.04 | ETA 00:02:18
Time 00:09:00 | Step 4735113 / 6000000 | TPS 8987.43 | ETA 00:02:20
Time 00:09:10 | Step 4826485 / 6000000 | TPS 9137.11 | ETA 00:02:08
Time 00:09:20 | Step 4918076 / 6000000 | TPS 9159.01 | ETA 00:01:58
Time 00:09:30 | Step 5008641 / 6000000 | TPS 9056.46 | ETA 00:01:49
Time 00:09:40 | Step 5099773 / 6000000 | TPS 9113.16 | ETA 00:01:38
Time 00:09:50 | Step 5186831 / 6000000 | TPS 8705.71 | ETA 00:01:33
Time 00:10:00 | Step 5271611 / 6000000 | TPS 8477.95 | ETA 00:01:25
