HOOMD-blue 2.9.6 CUDA (10.2) DOUBLE HPMC_MIXED TBB SSE SSE2 SSE3 
Compiled: 03/17/2021
Copyright (c) 2009-2019 The Regents of the University of Michigan.
-----
You are using HOOMD-blue. Please cite the following:
* J A Anderson, J Glaser, and S C Glotzer. "HOOMD-blue: A Python package for
  high-performance molecular dynamics and hard particle Monte Carlo
  simulations", Computational Materials Science 173 (2020) 109363
-----
HOOMD-blue is running on the following GPU(s):
 [0]  Tesla P100-PCIE-12GB  56 SM_6.0 @ 1.33 GHz, 12198 MiB DRAM, MNG
run.py:007  |  system = read_gsd("/home/erjank_project/chrisjones/pekk-msibi-final/learning-runs/single-chains/workspace/b83dce273531102fa2c624e593dddb4c/components.gsd", frame=-1, time_step=0)
notice(2): Group "all" created containing 60 particles
run.py:009  |  nl = hoomd.md.nlist.tree()
-----
You are using tree neighbor lists. Please cite the following:
* M P Howard, J A Anderson, A Nikoubashman, S C Glotzer, and A Z
  Panagiotopoulos. "Efficient neighbor list calculation for molecular simulation
  of colloidal systems using graphics processing units", Computer Physics
  Communications 203 (2016) 45--52
* M P Howard, A Statt, F Madutsa, T M Truskett, and A Z Panagiotopoulos.
  "Quantized bounding volume hierarchies for neighbor search in molecular
  simulations on graphics processing units", Computational Materials Science 164
  (2019) 139--146
-----
run.py:010  |  nl.reset_exclusions(exclusions=['1-2', '1-3'])
notice(2): -- Neighborlist exclusion statistics -- :
notice(2): Particles with 2 exclusions             : 2
notice(2): Particles with 3 exclusions             : 2
notice(2): Particles with 4 exclusions             : 56
notice(2): Neighbors included by diameter          : no
notice(2): Neighbors excluded when in the same body: no
run.py:012  |  table=hoomd.md.pair.table(width=101,nlist=nl)
run.py:013  |  table.set_from_file('E', 'E', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-E_final.txt')
run.py:014  |  table.set_from_file('K', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/K-K_final.txt')
run.py:015  |  table.set_from_file('E', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-K_final.txt')
run.py:016  |  harmonic_bond = hoomd.md.bond.harmonic()
run.py:017  |  harmonic_bond.bond_coeff.set('E-K', k=850, r0=1.47)
run.py:018  |  harmonic_bond.bond_coeff.set('K-K', k=1450, r0=1.53)
run.py:019  |  atable = hoomd.md.angle.table(width=200)
run.py:020  |  atable.set_from_file('E-K-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.E-K-K')
run.py:021  |  atable.set_from_file('K-E-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.K-E-K')
run.py:022  |  harmonic_dihedral = hoomd.md.dihedral.harmonic()
run.py:023  |  harmonic_dihedral.dihedral_coeff.set('E-K-K-E', k=16, d=-1, n=1, phi0=0)
run.py:024  |  harmonic_dihedral.dihedral_coeff.set('K-E-K-K', k=12, d=-1, n=1, phi0=0)
run.py:026  |  _all = hoomd.group.all()
run.py:027  |  hoomd.md.integrate.mode_standard(0.0003)
run.py:029  |  integrator = hoomd.md.integrate.nvt(group=_all, **integrator_kwargs)
run.py:000  |  
import hoomd
import hoomd.md
from hoomd.init import read_gsd

hoomd.context.initialize("")
system = read_gsd("/home/erjank_project/chrisjones/pekk-msibi-final/learning-runs/single-chains/workspace/b83dce273531102fa2c624e593dddb4c/components.gsd", frame=-1, time_step=0)

nl = hoomd.md.nlist.tree()
nl.reset_exclusions(exclusions=['1-2', '1-3'])

table=hoomd.md.pair.table(width=101,nlist=nl)
table.set_from_file('E', 'E', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-E_final.txt')
table.set_from_file('K', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/K-K_final.txt')
table.set_from_file('E', 'K', filename='/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/pairs-6.5kT/workspace/b0a23d31f30e96810cc01f23a4fe909f/E-K_final.txt')
harmonic_bond = hoomd.md.bond.harmonic()
harmonic_bond.bond_coeff.set('E-K', k=850, r0=1.47)
harmonic_bond.bond_coeff.set('K-K', k=1450, r0=1.53)
atable = hoomd.md.angle.table(width=200)
atable.set_from_file('E-K-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.E-K-K')
atable.set_from_file('K-E-K', '/home/erjank_project/chrisjones/pekk-msibi-final/msibi-runs/angles/second-run-shallower/potentials/angle_pot.K-E-K')
harmonic_dihedral = hoomd.md.dihedral.harmonic()
harmonic_dihedral.dihedral_coeff.set('E-K-K-E', k=16, d=-1, n=1, phi0=0)
harmonic_dihedral.dihedral_coeff.set('K-E-K-K', k=12, d=-1, n=1, phi0=0)

_all = hoomd.group.all()
hoomd.md.integrate.mode_standard(0.0003)
integrator_kwargs = {'tau': 0.01, 'kT': 6.5}
integrator = hoomd.md.integrate.nvt(group=_all, **integrator_kwargs)


hoomd.dump.gsd(
run.py:040  |  hoomd.run(6000000)
notice(2): Notice: Possible typo? Force coeff phi0 is specified for type E-K-K-E, but is not used by the dihedral force
notice(2): Notice: Possible typo? Force coeff phi0 is specified for type K-E-K-K, but is not used by the dihedral force
** starting run **
Time 00:00:10 | Step 82106 / 6000000 | TPS 8210.56 | ETA 00:12:00
Time 00:00:20 | Step 168347 / 6000000 | TPS 8624.03 | ETA 00:11:16
Time 00:00:30 | Step 253445 / 6000000 | TPS 8509.74 | ETA 00:11:15
Time 00:00:40 | Step 338543 / 6000000 | TPS 8509.79 | ETA 00:11:05
Time 00:00:50 | Step 424433 / 6000000 | TPS 8588.99 | ETA 00:10:49
Time 00:01:00 | Step 510667 / 6000000 | TPS 8623.39 | ETA 00:10:36
Time 00:01:10 | Step 596425 / 6000000 | TPS 8575.74 | ETA 00:10:30
Time 00:01:20 | Step 682344 / 6000000 | TPS 8591.86 | ETA 00:10:18
Time 00:01:30 | Step 772143 / 6000000 | TPS 8979.83 | ETA 00:09:42
Time 00:01:40 | Step 863488 / 6000000 | TPS 9134.43 | ETA 00:09:22
Time 00:01:50 | Step 951718 / 6000000 | TPS 8822.91 | ETA 00:09:32
Time 00:02:00 | Step 1036675 / 6000000 | TPS 8495.67 | ETA 00:09:44
Time 00:02:10 | Step 1122289 / 6000000 | TPS 8561.33 | ETA 00:09:29
Time 00:02:20 | Step 1212935 / 6000000 | TPS 9064.54 | ETA 00:08:48
Time 00:02:30 | Step 1299933 / 6000000 | TPS 8699.75 | ETA 00:09:00
Time 00:02:40 | Step 1395393 / 6000000 | TPS 9545.91 | ETA 00:08:02
Time 00:02:50 | Step 1486206 / 6000000 | TPS 9081.28 | ETA 00:08:17
Time 00:03:00 | Step 1582726 / 6000000 | TPS 9651.95 | ETA 00:07:37
Time 00:03:10 | Step 1674831 / 6000000 | TPS 9210.5 | ETA 00:07:49
Time 00:03:20 | Step 1770651 / 6000000 | TPS 9581.98 | ETA 00:07:21
Time 00:03:30 | Step 1865268 / 6000000 | TPS 9461.6 | ETA 00:07:17
Time 00:03:40 | Step 1951306 / 6000000 | TPS 8603.72 | ETA 00:07:50
Time 00:03:50 | Step 2040747 / 6000000 | TPS 8944.05 | ETA 00:07:22
Time 00:04:00 | Step 2128338 / 6000000 | TPS 8759.05 | ETA 00:07:22
Time 00:04:10 | Step 2216227 / 6000000 | TPS 8788.83 | ETA 00:07:10
Time 00:04:20 | Step 2304729 / 6000000 | TPS 8850.16 | ETA 00:06:57
Time 00:04:30 | Step 2394864 / 6000000 | TPS 9013.4 | ETA 00:06:39
Time 00:04:40 | Step 2488084 / 6000000 | TPS 9321.9 | ETA 00:06:16
Time 00:04:50 | Step 2580158 / 6000000 | TPS 9207.38 | ETA 00:06:11
Time 00:05:00 | Step 2665522 / 6000000 | TPS 8536.34 | ETA 00:06:30
Time 00:05:10 | Step 2755065 / 6000000 | TPS 8954.26 | ETA 00:06:02
Time 00:05:20 | Step 2844407 / 6000000 | TPS 8934.16 | ETA 00:05:53
Time 00:05:30 | Step 2930725 / 6000000 | TPS 8631.8 | ETA 00:05:55
Time 00:05:40 | Step 3019247 / 6000000 | TPS 8852.2 | ETA 00:05:36
Time 00:05:50 | Step 3110458 / 6000000 | TPS 9121.04 | ETA 00:05:16
Time 00:06:00 | Step 3203637 / 6000000 | TPS 9317.9 | ETA 00:05:00
Time 00:06:10 | Step 3300061 / 6000000 | TPS 9642.39 | ETA 00:04:40
Time 00:06:20 | Step 3390114 / 6000000 | TPS 9005.24 | ETA 00:04:49
Time 00:06:30 | Step 3478201 / 6000000 | TPS 8808.1 | ETA 00:04:46
Time 00:06:40 | Step 3568538 / 6000000 | TPS 9033.65 | ETA 00:04:29
Time 00:06:50 | Step 3656701 / 6000000 | TPS 8815.71 | ETA 00:04:25
Time 00:07:00 | Step 3746484 / 6000000 | TPS 8978.3 | ETA 00:04:10
Time 00:07:10 | Step 3837328 / 6000000 | TPS 9084.31 | ETA 00:03:58
Time 00:07:20 | Step 3925021 / 6000000 | TPS 8769.26 | ETA 00:03:56
Time 00:07:30 | Step 4015298 / 6000000 | TPS 9027.65 | ETA 00:03:39
Time 00:07:40 | Step 4106723 / 6000000 | TPS 9142.46 | ETA 00:03:27
Time 00:07:50 | Step 4199578 / 6000000 | TPS 9285.48 | ETA 00:03:13
Time 00:08:00 | Step 4288403 / 6000000 | TPS 8882.42 | ETA 00:03:12
Time 00:08:10 | Step 4372565 / 6000000 | TPS 8416.17 | ETA 00:03:13
Time 00:08:20 | Step 4461343 / 6000000 | TPS 8877.74 | ETA 00:02:53
Time 00:08:30 | Step 4551837 / 6000000 | TPS 9049.33 | ETA 00:02:40
Time 00:08:40 | Step 4644979 / 6000000 | TPS 9314.15 | ETA 00:02:25
Time 00:08:50 | Step 4733955 / 6000000 | TPS 8897.58 | ETA 00:02:22
Time 00:09:00 | Step 4824695 / 6000000 | TPS 9073.99 | ETA 00:02:09
Time 00:09:10 | Step 4912147 / 6000000 | TPS 8745.12 | ETA 00:02:04
Time 00:09:20 | Step 5003378 / 6000000 | TPS 9123.08 | ETA 00:01:49
Time 00:09:30 | Step 5096814 / 6000000 | TPS 9343.52 | ETA 00:01:36
Time 00:09:40 | Step 5189435 / 6000000 | TPS 9262.01 | ETA 00:01:27
Time 00:09:50 | Step 5279925 / 6000000 | TPS 9049 | ETA 00:01:19
Time 00:10:00 | Step 5366242 / 6000000 | TPS 8631.61 | ETA 00:01:13
Time 00:10:10 | Step 5457997 / 6000000 | TPS 9175.42 | ETA 00:00:59
Time 00:10:20 | Step 5549237 / 6000000 | TPS 9123.91 | ETA 00:00:49
Time 00:10:30 | Step 5641766 / 6000000 | TPS 9252.82 | ETA 00:00:38
Time 00:10:40 | Step 5726906 / 6000000 | TPS 8513.91 | ETA 00:00:32
Time 00:10:50 | Step 5812243 / 6000000 | TPS 8533.66 | ETA 00:00:22
Time 00:11:00 | Step 5899097 / 6000000 | TPS 8685.33 | ETA 00:00:11
Time 00:11:10 | Step 5986642 / 6000000 | TPS 8754.4 | ETA 00:00:01
Time 00:11:11 | Step 6000000 / 6000000 | TPS 9313.28 | ETA 00:00:00
Average TPS: 8936.03
---------
-- Neighborlist stats:
20102 normal updates / 20000 forced updates / 0 dangerous updates
